episode_id,writers
0,Ricky Gervais 
0,Stephen Merchant 
0, Greg Daniels
1,B. J. Novak
2,Paul Lieberstein
3,Michael Schur
4,Greg Daniels
5,Mindy Kaling
6,Mindy Kaling
7,B. J. Novak
8,Michael Schur
9,B. J. Novak
10,Greg Daniels
11,Gene Stupnitsky 
11, Lee Eisenberg
12,Paul Lieberstein
13,Larry Wilmore
14,Jennifer Celotta
15,Michael Schur
16,Greg Daniels
17,Mindy Kaling
18,Lee Eisenberg 
18, Gene Stupnitsky
19,Paul Lieberstein
20,B. J. Novak
21,Michael Schur
22,Paul Lieberstein
23,Mindy Kaling
24,Gene Stupnitsky 
24, Lee Eisenberg
25,Jennifer Celotta
26,Greg Daniels
27,Steve Carell
28,Greg Daniels
29,Gene Stupnitsky 
29, Lee Eisenberg
30,Paul Lieberstein
31,Jennifer Celotta
32,B. J. Novak
33,Mindy Kaling
34,Michael Schur
35,Brent Forrester
36,Ricky Gervais 
36, Stephen Merchant
37,Jennifer Celotta
38,Justin Spitzer
39,Michael Schur 
39, Lee Eisenberg 
39, Gene Stupnitsky
40,Lee Eisenberg 
40, Gene Stupnitsky 
40, Michael Schur
41,Mindy Kaling
42,Caroline Williams
43,Brent Forrester
44,Paul Lieberstein
45,Michael Schur
46,B. J. Novak
47,Justin Spitzer 
47, Brent Forrester
48,Gene Stupnitsky 
48, Lee Eisenberg
49,Jennifer Celotta 
49, Greg Daniels
50,Paul Lieberstein 
50, Michael Schur
51,Greg Daniels
52,Michael Schur
53,Jennifer Celotta
54,Paul Lieberstein
55,B. J. Novak
56,Mindy Kaling
57,Steve Carell
58,Lester Lewis
59,Gene Stupnitsky 
59, Lee Eisenberg
60,B. J. Novak
61,Mindy Kaling
62,Brent Forrester 
62, Justin Spitzer
63,Lee Eisenberg 
63, Gene Stupnitsky
64,Jennifer Celotta 
64, Paul Lieberstein
65,Lee Eisenberg 
65, Gene Stupnitsky
66,Ryan Koh
67,Aaron Shure
68,Charlie Gr
68,y
69,Anthony Q. Farrell
70,Lester Lewis
71,Brent Forrester
72,Mindy Kaling
73,Gene Stupnitsky 
73, Lee Eisenberg
74,Justin Spitzer
75,Jennifer Celotta
76,B. J. Novak
77,Paul Lieberstein
78,Mindy Kaling
79,Mindy Kaling
80,Brent Forrester
81,Mindy Kaling
82,Lee Eisenberg 
82, Gene Stupnitsky
83,Aaron Shure
84,B. J. Novak
85,Justin Spitzer
86,Ryan Koh
87,Charlie Gr
87,y
88,Anthony Q. Farrell
89,Warren Lieberstein 
89, Halsted Sullivan
90,Jennifer Celotta 
90, Paul Lieberstein
91,Paul Lieberstein
92,Aaron Shure
93,Jennifer Celotta
94,Greg Daniels 
94, Mindy Kaling
95,Greg Daniels 
95, Mindy Kaling
96,Brent Forrester
97,Lee Eisenberg 
97, Gene Stupnitsky
98,Warren Lieberstein 
98, Halsted Sullivan
99,Charlie Gr
99,y
100,Daniel Chun
101,Justin Spitzer
102,Gene Stupnitsky 
102, Lee Eisenberg
103,Mindy Kaling
104,Jason Kessler
105,Jennifer Celotta
106,Mindy Kaling
107,Daniel Chun
108,Daniel Chun
109,Jonathan Hughes
110,Brent Forrester
111,B. J. Novak
112,Mindy Kaling
113,Justin Spitzer
114,Gene Stupnitsky 
114, Lee Eisenberg
115,Aaron Shure
116,Warren Lieberstein 
116, Halsted Sullivan
117,Daniel Chun
118,B. J. Novak
119,Charlie Gr
119,y
120,Paul Lieberstein
121,Mindy Kaling
122,Justin Spitzer
123,Peter Ocko
124,Jon Vitti
125,Aaron Shure
126,Halsted Sullivan 
126, Warren Lieberstein
127,Mindy Kaling
128,Carrie Kemper
129,Steve Hely
130,Brent Forrester
131,Robert Padnick
132,B. J. Novak
133,Amelie Gillette
134,Jon Vitti
135,Daniel Chun
136,Mindy Kaling
137,Greg Daniels
138,Charlie Gr
138,y
139,Justin Spitzer
140,Paul Lieberstein
141,B. J. Novak
142,Paul Lieberstein
143,Charlie Gr
143,y
144,Justin Spitzer
145,Carrie Kemper
146,Daniel Chun
147,Allison Silverman
148,Robert Padnick
149,Dan Greaney
150,Mindy Kaling
151,Steve Hely
152,Owen Ellickson
153,Aaron Shure
154,Amelie Gillette
155,Daniel Chun
156,Halsted Sullivan 
156, Warren Lieberstein
157,Mindy Kaling
158,Robert Padnick
159,Charlie Gr
159,y
160,Steve Hely
161,Justin Spitzer
162,Owen Ellickson
163,Warren Lieberstein 
163, Halsted Sullivan
164,B. J. Novak
165,Greg Daniels
166,Allison Silverman
167,Jonathan Green 
167, Gabe Miller
168,Brent Forrester
169,Owen Ellickson
170,Dan Sterling
171,Carrie Kemper
172,Graham Wagner
173,Robert Padnick
174,Niki Schwartz-Wright
175,Dan Greaney
176,Jonathan Green 
176, Gabe Miller
177,Carrie Kemper
178,Owen Ellickson
179,Allison Silverman
180,Graham Wagner
181,Paul Lieberstein
182,Tim McAuliffe
183,Dan Sterling
184,Halsted Sullivan 
184, Warren Lieberstein
185,Niki Schwartz-Wright
186,Brent Forrester
187,Greg Daniels
